"ngay_mo_phong","sku","ten_san_pham","nhan_hang","nhom_hang","quy_cach","don_vi","gia_vnd","vi_tri_ke","vi_tri_kho","bao_quan","ma_lo","ngay_san_xuat","ngay_nhap","han_su_dung","kho_du_tru","ke_ban","cho_len_ke","dang_tren_xe","cach_ly_hong","cach_ly_het_han"
"2026-09-14","SKU-0001","Nước tinh khiết 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0001-L01","2025-12-20","2026-09-13","2026-09-16","5","10","0","0","0","0"
"2026-09-14","SKU-0001","Nước tinh khiết 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0001-L02","2026-05-10","2026-09-11","2027-02-04","14","6","0","0","0","0"
"2026-09-14","SKU-0001","Nước tinh khiết 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0001-L03","2026-07-11","2026-09-09","2027-04-07","9","0","0","0","0","0"
"2026-09-14","SKU-0001","Nước tinh khiết 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0001-QC","2025-12-17","2026-09-12","2026-09-13","0","0","0","0","0","2"
"2026-09-14","SKU-0002","Nước khoáng 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0002-L01","2026-03-09","2026-09-13","2026-12-04","1","4","0","0","0","0"
"2026-09-14","SKU-0002","Nước khoáng 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0002-L02","2026-05-10","2026-09-11","2027-02-04","4","2","0","0","0","0"
"2026-09-14","SKU-0002","Nước khoáng 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0002-L03","2026-07-11","2026-09-09","2027-04-07","4","0","0","0","0","0"
"2026-09-14","SKU-0003","Nước khoáng có ga 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0003-L01","2026-03-09","2026-09-13","2026-12-04","2","5","0","0","0","0"
"2026-09-14","SKU-0003","Nước khoáng có ga 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0003-L02","2026-05-10","2026-09-11","2027-02-04","5","2","0","0","0","0"
"2026-09-14","SKU-0003","Nước khoáng có ga 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0003-L03","2026-07-11","2026-09-09","2027-04-07","3","0","0","0","0","0"
